Int,NbPix
0,0.000107
1,0.015778
2,0.068512
3,0.063065
4,0.028564
5,0.026031
6,0.020950
7,0.023270
8,0.022568
9,0.026779
10,0.040268
11,0.025436
12,0.014786
13,0.019638
14,0.015396
15,0.024155
16,0.021317
17,0.024963
18,0.018082
19,0.025772
20,0.022003
21,0.012894
22,0.021606
23,0.015549
24,0.016129
25,0.025574
26,0.015564
27,0.015259
28,0.014130
29,0.017303
30,0.019394
31,0.020050
32,0.019287
33,0.015976
34,0.007477
35,0.011383
36,0.011047
37,0.009659
38,0.004608
39,0.008301
40,0.004059
41,0.009293
42,0.008636
43,0.004410
44,0.008148
45,0.004486
46,0.003799
47,0.006317
48,0.002609
49,0.005066
50,0.002594
51,0.002060
52,0.004211
53,0.002472
54,0.002274
55,0.004440
56,0.002670
57,0.002884
58,0.003036
59,0.006210
60,0.003357
61,0.003265
62,0.003235
63,0.002823
64,0.002808
65,0.006332
66,0.003174
67,0.002823
68,0.003189
69,0.002884
70,0.003113
71,0.003418
72,0.003433
73,0.003906
74,0.003723
75,0.003769
76,0.003281
77,0.003021
78,0.005966
79,0.000000
80,0.001862
81,0.002075
82,0.001633
83,0.000000
84,0.001297
85,0.000000
86,0.001038
87,0.000000
88,0.001022
89,0.000000
90,0.000000
91,0.000992
92,0.000000
93,0.000732
94,0.000000
95,0.000000
96,0.000580
97,0.000000
98,0.000763
99,0.000000
100,0.000000
101,0.000443
102,0.000000
103,0.000000
104,0.000000
105,0.000427
106,0.000000
107,0.000000
108,0.000214
109,0.000000
110,0.000000
111,0.000320
112,0.000000
113,0.000000
114,0.000000
115,0.000275
116,0.000000
117,0.000000
118,0.000000
119,0.000122
120,0.000000
121,0.000000
122,0.000000
123,0.000153
124,0.000000
125,0.000000
126,0.000000
127,0.000031
128,0.000000
129,0.000000
130,0.000000
131,0.000046
132,0.000000
133,0.000000
134,0.000000
135,0.000046
136,0.000000
137,0.000000
138,0.000000
139,0.000015
140,0.000000
141,0.000000
142,0.000000
143,0.000000
144,0.000046
145,0.000000
146,0.000000
147,0.000000
148,0.000000
149,0.000000
150,0.000000
151,0.000000
152,0.000000
153,0.000015
154,0.000000
155,0.000000
156,0.000000
157,0.000000
158,0.000000
159,0.000000
160,0.000000
161,0.000000
162,0.000000
163,0.000015
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
170,0.000000
171,0.000000
172,0.000000
173,0.000015
174,0.000000
175,0.000000
176,0.000000
177,0.000000
178,0.000000
179,0.000000
180,0.000000
181,0.000000
182,0.000000
183,0.000000
184,0.000000
185,0.000000
186,0.000000
187,0.000000
188,0.000000
189,0.000000
190,0.000000
191,0.000000
192,0.000000
193,0.000000
194,0.000000
195,0.000000
196,0.000000
197,0.000000
198,0.000000
199,0.000000
200,0.000000
201,0.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
210,0.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
220,0.000000
221,0.000000
222,0.000000
223,0.000000
224,0.000000
225,0.000000
226,0.000000
227,0.000000
228,0.000000
229,0.000000
230,0.000000
231,0.000000
232,0.000000
233,0.000000
234,0.000000
235,0.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
240,0.000000
241,0.000000
242,0.000000
243,0.000000
244,0.000000
245,0.000000
246,0.000000
247,0.000000
248,0.000000
249,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.000000
254,0.000000
255,0.000000
