Int,NbPix
0,0.000107
1,0.000000
2,0.000000
3,0.000000
4,0.015778
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.068512
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.063065
38,0.000000
39,0.000000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.028564
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.026031
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.020950
57,0.000000
58,0.000000
59,0.000000
60,0.000000
61,0.000000
62,0.023270
63,0.000000
64,0.000000
65,0.000000
66,0.000000
67,0.000000
68,0.022568
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,0.026779
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.040268
86,0.000000
87,0.000000
88,0.000000
89,0.000000
90,0.000000
91,0.000000
92,0.025436
93,0.000000
94,0.000000
95,0.014786
96,0.000000
97,0.000000
98,0.000000
99,0.000000
100,0.019638
101,0.000000
102,0.000000
103,0.000000
104,0.015396
105,0.000000
106,0.000000
107,0.000000
108,0.000000
109,0.000000
110,0.000000
111,0.024155
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.021317
117,0.000000
118,0.000000
119,0.000000
120,0.000000
121,0.000000
122,0.024963
123,0.000000
124,0.000000
125,0.000000
126,0.000000
127,0.018082
128,0.000000
129,0.000000
130,0.000000
131,0.000000
132,0.000000
133,0.025772
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.000000
139,0.022003
140,0.000000
141,0.000000
142,0.012894
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.021606
149,0.000000
150,0.000000
151,0.000000
152,0.015549
153,0.000000
154,0.000000
155,0.000000
156,0.016129
157,0.000000
158,0.000000
159,0.000000
160,0.000000
161,0.000000
162,0.025574
163,0.000000
164,0.000000
165,0.000000
166,0.015564
167,0.000000
168,0.000000
169,0.000000
170,0.015259
171,0.000000
172,0.000000
173,0.000000
174,0.014130
175,0.000000
176,0.000000
177,0.000000
178,0.017303
179,0.000000
180,0.000000
181,0.000000
182,0.000000
183,0.019394
184,0.000000
185,0.000000
186,0.000000
187,0.000000
188,0.020050
189,0.000000
190,0.000000
191,0.000000
192,0.000000
193,0.019287
194,0.000000
195,0.000000
196,0.000000
197,0.015976
198,0.000000
199,0.007477
200,0.000000
201,0.000000
202,0.011383
203,0.000000
204,0.000000
205,0.011047
206,0.000000
207,0.000000
208,0.009659
209,0.004608
210,0.000000
211,0.008301
212,0.004059
213,0.000000
214,0.009293
215,0.000000
216,0.008636
217,0.000000
218,0.004410
219,0.000000
220,0.008148
221,0.004486
222,0.003799
223,0.006317
224,0.002609
225,0.005066
226,0.004654
227,0.000000
228,0.006683
229,0.002274
230,0.004440
231,0.005554
232,0.003036
233,0.000000
234,0.006210
235,0.006622
236,0.003235
237,0.002823
238,0.002808
239,0.006332
240,0.003174
241,0.002823
242,0.006073
243,0.003113
244,0.003418
245,0.003433
246,0.003906
247,0.003723
248,0.003769
249,0.006302
250,0.000000
251,0.007828
252,0.003708
253,0.004349
254,0.004242
255,0.000015
